id;name;source;address;type;agr_type;lat;lon;region;original_address;sameness;reffers_to
2236;Бухта Ая;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Еланцынское муниципальное образование;accomodations,natural,interesting_places,beaches,other_hotels,other_beaches;Природный туризм;52.787125;106.601387;Ольхонский;0;0;
2237;Елбырь;Природа OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Онгурёнское муниципальное образование;mountain_peaks,geological_formations,natural,interesting_places;Природный туризм;54.228916;108.324638;Ольхонский;0;0;
2321;Храм Держаной иконы Божьей Матери;Религия OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, посёлок Хужир, Горный переулок;religion,other_temples,interesting_places;Религиозный туризм;53.195244;107.334267;Ольхонский;0;0;
2322;Кладбище;Религия OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, посёлок Хужир;religion,other_temples,interesting_places;Религиозный туризм;53.190365;107.362877;Ольхонский;0;0;
2359;Храм Рождества Христова;Религия OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, село Еланцы, улица Ленина;religion,churches,interesting_places,other_churches;Религиозный туризм;52.795654;106.402443;Ольхонский;0;0;
2371;Буддийская ступа;Религия OpenTripMap.xlsx;Россия, Иркутская область, Ольхонский район, Шара-Тоготское муниципальное образование, остров Огой;religion,buddhist_temples,interesting_places;Религиозный туризм;53.12891;106.997856;Ольхонский;0;0;
2511;Еланцинский историко-краеведческий музей структурное подразделение МКУК ЦДБ;Унифицированныи?_туристскии?_паспорт_Иркутскои?_области_2019_50.xlsx;666130, с. Еланцы Ольхонского района, ул. Пенкальского,8;Музей;Культурно-познавательный туризм;52.798054;106.400181;Ольхонский;1;2;395.0
2515;«Краеведческий музей имени Н.М.Ревякина» МКУК «Центр культуры Хужирского МО»;Унифицированныи?_туристскии?_паспорт_Иркутскои?_области_2019_50.xlsx;666137, с. Хужир Ольхонского района, ул. Первомайская, 2;Музей;Культурно-познавательный туризм;53.194583;107.338346;Ольхонский;1;2;1625.0
2532;Арт-галерея Ощепковых ИП «Яцыно А.В.»;Унифицированныи?_туристскии?_паспорт_Иркутскои?_области_2019_50.xlsx;666137, пос. Хужир, ул. Первомайская, 24;Музей;Культурно-познавательный туризм;53.198041;107.338247;Ольхонский;1;0;
2617;Священная гора Ехэ-Ердо;Унифицированныи?_туристскии?_паспорт_Иркутскои?_области_2019_Церкви.xlsx;Иркутская обл., Ольхонский р-н, пос. Еланцы;Не определен;Религиозный туризм;52.79733;106.399247;Ольхонский;1;0;
