name;rating;min_price;rating.quality_of_sleep;rating.location;rating.service;rating.cleanness;rating.meal;lon;lat;id
Жемчужина Байкала;9.6;3000;8.9;8.7;8.7;9.3;0;106.88918;53.01678;609271_101hotels
Куркут Байкал;0;0;0;0;0;0;0;106.82829;53.0323;609292_101hotels
Эскизы Байкала;9;3750;10;9.4;9.1;9.8;0;106.86672;53.02257;609328_101hotels
Белая Усадьба;8.9;13000;0;0;0;0;0;106.89986;53.01569;625689_101hotels
Байкальская бочка;0;0;0;0;0;0;0;106.831;53.04168743;652056_101hotels
Хороший;0;30000;0;0;0;0;0;106.887;53.01693539;651768_101hotels
Азатей;8.2;5000;8.7;8.7;10;10;8.7;106.875;53.02014914;651726_101hotels
Пушкина;9.1;6000;8.7;9.4;8.3;9.1;0;107.341;53.19670275;15194_101hotels
Оазис;9.6;1800;9.6;9.6;9.6;9.8;10;107.334618;53.190677;15195_101hotels
Иволга;9.4;5000;9.3;9.1;8.9;9.4;9.6;107.33;53.19392974;15196_101hotels
Тимур;9.4;1600;9.6;8.3;9.3;9.8;0;107.3159;53.1767;15198_101hotels
История Ольхона;9.4;5900;9.6;8.7;8.7;9.3;0;107.35665;53.19669;15199_101hotels
Валентины;9.6;2700;9.4;9.6;9.4;9.6;10;107.35;53.1933666;15202_101hotels
Адмирал;9.1;3400;9.1;9.3;8.9;9.1;9.3;107.3459;53.19161466;15203_101hotels
Как Дома;9.6;3100;8.1;9.6;8.7;9.6;0;107.348;53.19525505;15204_101hotels
Солнечная;9.1;1900;8.3;8.7;8.3;8.5;8.7;107.35;53.19679108;15205_101hotels
Байкал Хан;8.2;7475;8.5;8.9;8.7;8.7;9.4;107.351;53.19896002;15206_101hotels
Байкал;9.3;5000;9.3;9.6;9.3;9.1;9.8;107.349521;53.200841;15207_101hotels
Байкальский Прибой;9.1;3000;7;9.1;7.2;7.2;0;107.35225;53.19394;15208_101hotels
Воскресение;10;5800;9.4;10;9.8;9.6;0;107.34;53.19560382;15211_101hotels
Гостиный Двор Ольхонский;8.9;2000;8.1;9.4;8.9;9.1;8.7;107.35292;53.1958;15212_101hotels
Диана;9.4;1870;8.9;10;8.7;9.1;0;107.346;53.19375809;15213_101hotels
Отдых на Байкале;9.3;3200;8.5;9.1;7.9;8.9;0;107.337;53.19136459;15214_101hotels
