Unnamed: 0,name,url,id
78,"Отель ""Звезда Кочевника""",https://restaurantguru.ru/The-recreation-center-Star-Nomad-Khuzhir-2,195
80,Restobar Orange,https://restaurantguru.ru/Restobar-Orange-Khuzhir,196
81,Кафе,https://restaurantguru.ru/Cafe-Khuzhir,197
85,Волна,https://restaurantguru.ru/Volna-Khuzhir,198
93,Арт-кафе на Ольхоне,https://restaurantguru.ru/Art-kafe-na-Olkhone-Khuzhir,199
112,Копченый Морячок,https://restaurantguru.ru/Kopchenyy-Moryachok-Khuzhir,200
114,Cafe Чабрец,https://restaurantguru.ru/Cafe-Chabres-Khuzhir,201
117,"Кафе ""У Светланы""",https://restaurantguru.ru/Kafe-U-Svetlany-Russia,202
119,Сказка на Пушкина,https://restaurantguru.ru/Skazka-Na-Pushkina-Khuzhir,203
122,Harat's bus tour,https://restaurantguru.ru/Harats-bus-tour-Khuzhir,204
124,Кудесница,https://t.restaurantguru.com/new_restaurants?id=101115542,205
131,Кафе на сарайской,https://restaurantguru.ru/Kafe-na-saraiskoi-Khuzhir,206
137,Wood кафе,https://restaurantguru.ru/Wood-Cafe-Khuzhir-2,207
145,Байкалочка,https://restaurantguru.ru/Baikalochka-Russia,208
146,Ресторан в арт-резиденции Порт Ольхон,https://restaurantguru.ru/Restaurant-in-the-Art-Residence-Port-Olkhon-Russia,209
149,"Арт-Кафе Воскресение Хужир, о. Ольхон, Байкал",https://t.restaurantguru.com/new_restaurants?id=108136387,210
150,Кафе на сарайской,https://t.restaurantguru.com/new_restaurants?id=102007123,211
151,Кафе,https://restaurantguru.ru/Kafe-Russia-1104,212
155,Ресторан Сибирской кухни,https://restaurantguru.ru/Restoran-Sibirskoi-kukhni-Russia,213
163,Теремок,https://restaurantguru.ru/Teremok-Russia-41,214
164,Кафе-Позная Юрта,https://restaurantguru.ru/Yurta-Cafe-Poznaya-Russia,215
165,Кафе,https://restaurantguru.ru/Kafe-Khuzhir,216
166,Ламу,https://restaurantguru.ru/Lamu-Khuzhir,217
169,Fairytale,https://restaurantguru.ru/Kofeinya-Fairytail-Khuzhir,218
170,Байкальский бриз,https://restaurantguru.ru/Baikal-breeze-Khuzhir-2,219
59,Байкальская Ривьера,https://restaurantguru.ru/Baikal-Riviera-Gremyachinsk-Buryatia,220
63,Атлас вкуса,https://restaurantguru.ru/Kafe-Atlas-Vkusa-Russia,221
65,Хаим,https://restaurantguru.ru/Khaim-Russia,222
66,Горячинск,https://restaurantguru.ru/Kafe-Goryachinsk-Russia,223
67,Арго,https://restaurantguru.ru/Argo-Gremyachinsk-Buryatia,224
68,Провинция,https://restaurantguru.ru/Provintsiya-Turka-Buryatia,225
69,Мунхэ Байгал,https://restaurantguru.ru/Munkhe-Baigal-Turka-Buryatia,226
71,Баянгол,https://restaurantguru.ru/Bayangol-Gremyachinsk-Buryatia,227
73,Тайга,https://restaurantguru.ru/Taiga-Russia-2,228
74,Позная,https://restaurantguru.ru/Poznaya-Russia,229
76,Загляни-Ка,https://restaurantguru.ru/Zaglyani-ka-Russia,230
94,Визит,https://restaurantguru.ru/Vizit-Gremyachinsk-Buryatia,231
100,Виктория,https://restaurantguru.ru/Viktoriya-Russia-21,232
112,"Бар, паб",https://restaurantguru.ru/Bar-pab-Turka-Buryatia,233
116,Столовая,https://restaurantguru.ru/Stolovaya-Turka-Buryatia,234
69,"""Кумуткан"" Парк-отель",https://restaurantguru.ru/Kumutkan-Russia,235
71,Империал,https://restaurantguru.ru/Imperial-Russia,236
72,Тайга,https://restaurantguru.ru/Taiga-Russia-4,237
101,Прасковья,https://restaurantguru.ru/Praskovya-Russia,238
106,Бургэд,https://restaurantguru.ru/Burged-Russia,239
111,подзаправочная,https://restaurantguru.ru/podzapravochnaya-Russia,240
68,Баргуджин токум,https://restaurantguru.ru/Cafe-Bargudzin-Tokum-Ust-Barguzin,241
71,Позная у парома,https://restaurantguru.ru/Poznaya-u-paroma-Ust-Barguzin,242
72,У Парома,https://restaurantguru.ru/Poznaya-Ust-Barguzin,243
73,Кафе Бууза,https://restaurantguru.ru/Kafe-Buuza-Ust-Barguzin,244
74,Китайская кухня,https://restaurantguru.ru/Kitaiskaya-kukhnya-Ust-Barguzin,245
99,Ресторан и бар Кумуткан,https://restaurantguru.ru/Restoran-I-Bar-Kumutkan-Ust-Barguzin,246
103,Baikal Food,https://restaurantguru.ru/Baikal-Food-Russia,247
107,Бессонница,https://restaurantguru.ru/Bessonnitsa-Ust-Barguzin,248
105,Сэсэг,https://restaurantguru.ru/Seseg-Tataurovo,249
